id,property_id,legacy_access_id,deal_kind,status,title,closing_reason,cancellation_reason,started_on,signed_on,cancelled_on,closed_on,deed_signed_on,notes
8b917df2-e61a-4d84-5233-5b76066aa481,ea6afa02-2766-5d7a-168e-5a3f61680e00,2,closing,completed,RTV-571 closing,,,,,,2018-04-27,2018-04-27,
e8d79346-f5e7-226d-d67d-d8ac128ebd08,c1448ff8-422b-2334-6ca3-eff70d2bfbea,3,closing,completed,RTV-704 closing,,,2018-11-16,2018-11-16,,2018-05-30,2018-05-30,
fd6e9363-7c6d-0088-d014-d9b327470b4b,4d1622fa-0ccf-07fa-97a7-324bf8ca2a62,4,closing,completed,RCV-805 closing,,,2018-04-16,2018-04-16,,2018-05-19,2018-05-19,
abf3a4d2-91c3-c46c-194a-6e577a8cd5b2,968a5f5b-d345-6e45-922d-12e99e5a318e,5,closing,completed,RCV-814 closing,,,2017-12-14,2017-12-14,,2018-03-08,2018-03-08,
246002fb-a6f4-7432-3fa7-a07c14b65f61,22106f6f-7efb-2325-82d7-4e42d3d58f6c,6,cancellation,completed,RTV-844 cancellation,,Final de contrato,,,2018-02-14,2018-02-14,,
000f9a0a-45f0-da1d-e1ab-01c146ded122,f1a20f23-ff70-aa42-c32c-d1fd9069341d,7,closing,completed,RCV-849 closing,,,2018-01-17,2018-01-17,,2018-01-30,2018-01-30,
8a0a2049-2d52-54c3-5458-c18deb7cd932,8213bbcc-cde4-9f66-f53a-8892f35cab1b,8,closing,completed,CLV-851 closing,,,,,,2018-01-22,2018-01-22,
baaf4ebc-a17a-da51-e3a4-cc364ce65ca0,9e028978-ecf3-57ff-e861-ea255d5b6649,9,cancellation,completed,RCV-874 cancellation,,,,,2018-03-26,2018-03-26,,
45fb561a-66a5-16bf-5061-f7d966e03a9c,4b5da94c-26ce-e133-b3a0-dd2c18e5003b,10,cancellation,completed,RTV-899 cancellation,,,,,2018-02-19,2018-02-19,,
3eb7a8c7-4fc9-a5e8-f1f3-d360585b2b5b,fd8d5254-2091-e49d-eca5-533912abb90d,11,closing,completed,RCV-916 closing,,,2017-06-03,2017-06-03,,2018-02-02,2018-02-02,
638f7f54-f4c4-1977-ac7e-6c0132b024c5,851453c0-c4a6-14b1-e492-5e579aa8f532,12,cancellation,completed,RCV-955 cancellation,,,,,2018-04-10,2018-04-10,,
8fbe5287-7b6f-8655-8d1b-48634092c39c,b3a4b996-32e9-5d2f-5ee1-229c358637cb,13,closing,completed,CBV-961 closing,,,2017-10-09,2017-10-09,,2018-02-17,2018-02-17,
673f4384-21ab-043e-9992-4bff74f2ee0c,1fcc5a8f-9b1d-e469-dbb3-c91dd7c08751,14,closing,completed,RCV-966 closing,,,2018-01-11,2018-01-11,,2018-03-10,2018-03-10,
f60864ba-c2c5-1de1-8ba7-037fcca40f51,ff167d1e-170f-eb05-5d12-c7c37532012e,15,cancellation,completed,RCV-894 cancellation,,,,,2018-02-19,2018-02-19,,
9b4442e8-939f-b14a-de97-88c2dcae4f30,db057fe2-cd6d-0762-e453-cf3a5ecb2835,16,cancellation,completed,RCV-910 cancellation,,,,,2018-08-27,2018-08-27,,
