id,legacy_access_id,shift_date,shift_label,scheduled_start_at,scheduled_end_at,check_in_at,check_out_at,assigned_staff_member_id,replacement_staff_member_id,shift_status,punctuality_status,checkout_status,is_justified,justification_notes,notes
0863de3a-296d-7ab0-7ea9-8429c4e2f355,2,2025-01-16,2,2025-01-16T12:30:00,2025-01-16T16:00:00,2025-01-16T12:30:00,2025-01-16T16:00:00,1a969ca7-c135-6f5a-e6ea-c6dfba748c35,,completed,Puntual,Puntual,false,,
cbe32e0f-559c-3a0c-a630-d22443760d32,3,2019-04-17,1,2019-04-17T09:00:00,2019-04-17T12:30:00,2019-04-17T09:00:00,2019-04-17T12:30:00,,,completed,Puntual,Puntual,false,,
e20ea05e-5168-1c36-d899-ad7077fbed96,4,2019-04-17,2,2019-04-17T12:30:00,2019-04-17T16:00:00,2019-04-17T12:37:00,2019-04-17T16:00:00,b6bf1598-8a10-2e5b-9293-82df987eb569,,completed,Retardo,Puntual,false,Otra,
cebf2312-4242-999d-d9ad-9e5b20075a8a,5,2019-04-17,3,2019-04-17T16:00:00,2019-04-17T19:30:00,2019-04-17T16:00:00,2019-04-17T19:30:00,4450d8d2-22cb-a3bb-8bf1-350800dedb16,,completed,Puntual,Puntual,false,,
fcc942f0-980d-a839-1a59-5c6c8247034c,6,2019-04-18,1,2019-04-18T09:00:00,2019-04-18T12:30:00,2019-04-18T09:00:00,2019-04-18T12:30:00,4b4bef1f-f010-66cb-e427-8abdc890c4cf,,completed,Puntual,Puntual,false,,
4dd930c3-0454-df10-94be-bf9a5301d07c,7,2019-04-18,2,2019-04-18T12:30:00,2019-04-18T16:00:00,2019-04-18T12:30:00,2019-04-18T16:00:00,b6be7f73-258e-aa7c-349e-244980f88494,,completed,Puntual,Puntual,false,,
1c63b061-85f6-fcc4-8ed1-77ad2a302f5d,8,2019-04-18,3,2019-04-18T16:00:00,2019-04-18T19:30:00,2019-04-18T16:00:00,2019-04-18T19:30:00,49949a77-73fe-1580-1697-5adc1c8f6459,8c3af378-3855-108e-14fa-d2f8c61027d7,completed,Puntual,Puntual,false,,
278eabef-f7ad-c25c-104d-fb0f19fd6fe0,9,2019-01-02,1,2019-01-02T09:00:00,2019-01-02T12:30:00,2019-01-02T09:00:00,2019-01-02T12:30:00,99f95efc-be61-ffba-637e-384d5d46c51f,,completed,Puntual,Puntual,false,,
7450eeb8-efe6-07af-3642-f0182d1b2d63,10,2019-01-02,2,2019-01-02T12:30:00,2019-01-02T16:00:00,2019-01-02T12:30:00,2019-01-02T16:00:00,8b76b7d6-38bd-ca7b-a374-cf79bc6ac00c,,completed,Puntual,Puntual,false,,
305998df-c889-87e5-db9f-520291fe4f05,11,2019-01-02,3,2019-01-02T16:00:00,2019-01-02T19:30:00,2019-01-02T16:00:00,2019-01-02T19:30:00,4b4bef1f-f010-66cb-e427-8abdc890c4cf,,completed,Puntual,Puntual,false,,
